hash_bits,matrix_dim,candidate,mean_gap,std_gap,energy,is_target
12,8,0,0.6657716492,0.7006670425,43.9172730829,0
12,8,1,0.5828712588,0.6132118462,40.1276863313,0
12,8,2,0.6061549759,0.6893362310,41.3219293078,0
12,8,3,0.5031569511,0.6471390342,38.0080547582,0
12,8,4,0.5476273816,0.6204899345,38.9140887592,0
12,8,5,0.5025058324,0.5211752318,38.1015999621,0
12,8,6,0.4750881057,0.5974073860,36.4541963061,0
12,8,7,0.4571878237,0.5015142957,36.1021786474,0
12,8,8,0.5737124611,0.5746781148,39.3401357621,0
12,8,9,0.4746694729,0.4510558551,36.7103112889,0
12,8,10,0.5403289705,0.5330581468,39.1833603376,0
12,8,11,0.4784587448,0.4609861561,36.9553356003,0
12,8,12,0.4654726950,0.5435805825,35.9791187678,0
12,8,13,0.4752866316,0.4134192035,36.1395865923,0
12,8,14,0.4205361776,0.5048755912,35.9596230537,0
12,8,15,0.4983578353,0.3891137718,36.6319897304,0
12,8,16,0.5985669156,0.8071092734,39.9923942664,0
12,8,17,0.5114315069,0.7227146683,36.6909453721,0
12,8,18,0.5530121918,0.7463495833,38.1578912297,0
12,8,19,0.4439677302,0.6685855454,35.4571972146,0
12,8,20,0.4959043505,0.6142088005,36.9025789993,0
12,8,21,0.4917667034,0.5072203976,36.5506892091,0
12,8,22,0.4483348096,0.5392985983,35.0590810662,0
12,8,23,0.4755875630,0.4359496078,35.2841059455,0
12,8,24,0.4953629315,0.5944734775,35.5868645819,0
12,8,25,0.3703760505,0.5799832836,33.6327511926,0
12,8,26,0.4733011383,0.5431368654,36.1337648639,0
12,8,27,0.4465725522,0.4074346274,34.5318115627,0
12,8,28,0.4043497346,0.4370022420,34.2128652822,0
12,8,29,0.4642348285,0.4120291633,34.8081299370,0
12,8,30,0.4014848479,0.3829709191,34.6170955954,0
12,8,31,0.5070173253,0.3801114294,35.9808690731,0
12,8,32,0.5545725371,0.6134951933,38.2805398713,0
12,8,33,0.4847449810,0.5652112923,35.5648938368,0
12,8,34,0.4778754229,0.5285728780,35.7768150129,0
12,8,35,0.3720130728,0.4962712358,33.5180457504,0
12,8,36,0.4587054137,0.4777459184,35.3444546393,0
12,8,37,0.4490215439,0.4252477522,35.5466862051,0
12,8,38,0.3835780273,0.3958123800,33.1322671955,0
12,8,39,0.4135274936,0.3705155876,33.6341699691,0
12,8,40,0.4307118120,0.3714992551,34.1518597214,0
12,8,41,0.3267597561,0.3350539560,32.5863547654,0
12,8,42,0.3901668752,0.3470208590,34.1197620129,0
12,8,43,0.3659719625,0.3702597049,32.9726442989,0
12,8,44,0.3195522854,0.3225380388,32.6924845531,0
12,8,45,0.4274985859,0.3306294725,33.9626100976,0
12,8,46,0.3175673620,0.2835642980,32.5699035454,0
12,8,47,0.4379870771,0.4214017688,34.4792854591,0
12,8,48,0.5316892054,0.4204136263,38.6565371376,1
