hash_bits,matrix_dim,candidate,mean_gap,std_gap,energy,is_target
36,20,0,0.4673470637,0.7962728853,217.4023553825,0
36,20,524,0.4056990703,0.7014831057,197.6339434140,0
36,20,1048,0.4138554859,0.7013342408,196.1993549071,0
36,20,1572,0.3981317741,0.7253893818,195.9710197931,0
36,20,2096,0.4201131837,0.7571554810,198.5626829875,0
36,20,2620,0.3981193143,0.7118856606,188.2249813473,0
36,20,3144,0.3921477058,0.6844293878,189.5369020042,0
36,20,3668,0.3708432487,0.6719498275,187.5397535315,0
36,20,4192,0.4076873733,0.7851087481,193.0198375768,0
36,20,4716,0.3605998085,0.7339748812,181.0943081942,0
36,20,5240,0.3714613373,0.7327678507,181.7981470142,0
36,20,5764,0.3651536095,0.6913258381,183.2939981843,0
36,20,6288,0.3867041983,0.7513505828,188.0215839939,0
36,20,6812,0.3444710689,0.7181696728,177.5147650379,0
36,20,7336,0.3671964161,0.7299851220,181.1264765036,0
36,20,7860,0.4183185625,0.7508004536,187.4182005303,0
36,20,8384,0.3989093642,0.6436080609,194.5335577911,0
36,20,8908,0.3435345561,0.6343195870,180.8532072585,0
36,20,9432,0.3542920338,0.6799596582,178.2395055688,0
36,20,9956,0.3463167804,0.7727015764,179.7530658217,0
36,20,10480,0.3678717836,0.7685820981,183.8722834536,0
36,20,11004,0.4010473584,0.7502508218,179.6457417282,0
36,20,11528,0.3638869381,0.6537241319,182.6993987041,0
36,20,12052,0.3721695198,0.7072515481,184.7678029446,0
36,20,12576,0.3778219223,0.7342080576,186.2414066092,0
36,20,13100,0.3311736319,0.6724945080,176.6104439438,0
36,20,13624,0.3478094422,0.6564866785,176.8303336721,0
36,20,14148,0.3384680468,0.6553682386,178.9923057946,0
36,20,14672,0.3562791314,0.6611216922,180.9237355423,0
36,20,15196,0.3570349435,0.6165420590,176.3975198239,0
36,20,15720,0.3620112960,0.6197787509,179.8735368527,0
36,20,16244,0.4354154238,0.7169488753,189.7875919566,0
36,20,16768,0.3899911825,0.5991820732,194.4918910852,0
36,20,17292,0.3326853521,0.4830833820,181.5470520026,0
36,20,17816,0.3363460870,0.4961269621,177.7794431884,0
36,20,18340,0.3206985974,0.5061165416,178.6734605714,0
36,20,18864,0.3454660451,0.6046036714,178.4868809101,0
36,20,19388,0.3584425035,0.6378551368,175.0653171594,0
36,20,19912,0.3346223643,0.5822484173,179.5707901674,0
36,20,20436,0.3548151685,0.5907343451,179.0940396236,0
36,20,20960,0.3491793988,0.5901255134,181.6018001952,0
36,20,21484,0.3743120159,0.6624736046,176.9793072625,0
36,20,22008,0.3582688590,0.6204041409,175.8027062993,0
36,20,22532,0.3747297207,0.7148063752,189.7821341965,0
36,20,23056,0.3630323462,0.6179142163,183.4258579736,0
36,20,23580,0.3390248173,0.6762947027,180.1903769286,0
36,20,24104,0.3455114572,0.6420725930,181.6359745668,0
36,20,24628,0.3634260137,0.6376282386,189.6055360820,0
36,20,25152,0.3637392973,0.5399536491,184.7032524676,0
36,20,25676,0.3356985293,0.6563060020,178.1587729647,0
36,20,26200,0.3312579056,0.6069204375,174.9479698708,0
36,20,26724,0.3492068184,0.7146207498,182.1468215115,0
36,20,27248,0.3432029436,0.6184694085,178.1539146655,0
36,20,27772,0.3892505722,0.6312239000,179.8866802830,0
36,20,28296,0.3324380213,0.5809603228,178.7862377494,0
36,20,28820,0.3388607388,0.6215974784,182.6813583863,0
36,20,29344,0.3460671619,0.5944923994,178.7950844485,0
36,20,29868,0.3396912813,0.5715018647,175.5652827113,0
36,20,30392,0.3274520427,0.5367188277,176.2189638586,0
36,20,30916,0.3808833257,0.6486970414,187.5667563161,0
36,20,31440,0.3520385592,0.5333862278,180.5050089176,0
36,20,31964,0.3970458537,0.5998495244,183.3404068605,0
36,20,32488,0.4012763554,0.6001890831,187.0295621362,0
36,20,33012,0.3565077164,0.5110101683,186.3978649562,0
36,20,33536,0.3869819734,0.6098283238,194.0563965785,0
36,20,34060,0.3347139731,0.5262540487,181.1804856802,0
36,20,34584,0.3347738522,0.4352460313,183.0115011275,0
36,20,35108,0.3276635796,0.5165902488,178.0613467549,0
36,20,35632,0.3330933175,0.4547549950,179.9269662359,0
36,20,36156,0.3311140008,0.4095073746,175.1599269421,0
36,20,36680,0.3131617030,0.3880869920,177.4827603368,0
36,20,37204,0.3135080630,0.5533701178,173.2344192190,0
36,20,37728,0.3243354971,0.5268803905,173.6396155891,0
36,20,38252,0.2995284016,0.5947127307,168.3567141575,0
36,20,38776,0.3227996697,0.5082062787,172.8975808813,0
36,20,39300,0.3166590457,0.5726572877,176.6903742979,0
36,20,39824,0.3111700404,0.4939761461,174.8633142069,0
36,20,40348,0.3042705388,0.4628863221,171.0019413447,0
36,20,40872,0.3235900711,0.4698790752,175.7652296097,0
36,20,41396,0.3095702718,0.4686770155,176.1307445896,0
36,20,41920,0.3235608032,0.3983134077,180.3155238035,0
36,20,42444,0.3247060762,0.5023559361,173.5265764419,0
36,20,42968,0.3119401475,0.4851642069,174.4437773333,0
36,20,43492,0.3270205738,0.5641081968,173.9099531937,0
36,20,44016,0.3303468869,0.4924438246,174.3357020959,0
36,20,44540,0.3703894964,0.5974048476,176.1882367342,0
36,20,45064,0.3655922906,0.5675576661,188.1467270056,0
36,20,45588,0.3184101233,0.5622921847,177.1808551508,0
36,20,46112,0.3474643227,0.5767084863,180.3210226443,0
36,20,46636,0.3051204537,0.5288580424,173.6445157844,0
36,20,47160,0.3315648872,0.5680492277,180.0384697514,0
36,20,47684,0.3107831673,0.5225375247,175.9838582781,0
36,20,48208,0.3243124181,0.5190292107,178.4387970904,0
36,20,48732,0.3543579693,0.5074970873,177.1648256571,0
36,20,49256,0.3532143871,0.4976022781,183.8873158714,0
36,20,49780,0.3232234958,0.4154217817,178.3632912290,0
36,20,50304,0.3448260791,0.4457715677,183.9377753127,0
36,20,50828,0.2912263650,0.3505800936,174.4972708134,0
36,20,51352,0.3239922151,0.5347399457,174.8067288638,0
36,20,51876,0.2977248091,0.5123232112,170.2180330194,0
36,20,52400,0.3112907512,0.4964126172,174.4013693403,0
36,20,52924,0.3399589636,0.4506021300,173.7992542354,0
36,20,53448,0.3388802795,0.4867938284,183.2286115724,0
36,20,53972,0.2868534305,0.4479663894,170.2122672437,0
36,20,54496,0.3166934064,0.4753170411,174.2864312063,0
36,20,55020,0.3360848525,0.4382472182,171.9816592162,0
36,20,55544,0.3496104788,0.4926678838,177.8554251394,0
36,20,56068,0.3006680799,0.4921122188,176.0145274866,0
36,20,56592,0.3093627336,0.4642194711,176.9473742000,0
36,20,57116,0.3317682978,0.4414734749,177.0423761349,0
36,20,57640,0.3262970551,0.4295922705,179.3318867863,0
36,20,58164,0.3129318246,0.4355282773,178.0049351683,0
36,20,58688,0.3171022201,0.4309572641,177.1761121340,0
36,20,59212,0.2955326850,0.3776529175,173.3502364437,0
36,20,59736,0.3025890839,0.4242406363,172.0240719516,0
36,20,60260,0.2998177901,0.4143991333,172.3697204925,0
36,20,60784,0.3137609078,0.3938675128,174.8795427139,0
36,20,61308,0.3760387967,0.5481614708,180.3706855272,0
36,20,61832,0.3321474659,0.4249332177,184.7004806106,0
36,20,62356,0.3107160626,0.3832630916,176.7367431472,0
36,20,62880,0.3061630042,0.3928042462,176.3887804137,0
36,20,63404,0.3420885041,0.4428487374,176.8061515679,0
36,20,63928,0.3521045173,0.4380559797,180.3352772541,0
36,20,64452,0.3650246406,0.4569145083,183.1649256241,0
36,20,64976,0.3602420584,0.4186975411,183.1442352233,0
36,20,65500,0.4008923109,0.6190878908,188.9829524724,0
36,20,66024,0.3573096621,0.4953978004,185.4272428610,0
36,20,66548,0.3604152624,0.4527587856,182.7140210334,0
36,20,67072,0.3947427281,0.6677842363,195.2655915688,0
36,20,67596,0.3520883307,0.5700586441,185.8079586083,0
36,20,68120,0.3451921193,0.5374164304,179.2585882808,0
36,20,68644,0.3389825430,0.5416780517,182.2427916121,0
36,20,69168,0.3495972324,0.5114939078,186.7065303077,0
36,20,69692,0.3308746855,0.5501904722,180.5400581949,0
36,20,70216,0.3263495945,0.5177101406,175.7466514581,0
36,20,70740,0.3080150486,0.5259028151,172.1003567759,0
36,20,71264,0.3218164292,0.4874192911,175.1710438097,0
36,20,71788,0.3118765886,0.5431473971,175.7847200785,0
36,20,72312,0.2995093528,0.4640476416,171.9799551300,0
36,20,72836,0.3069263245,0.5016089921,176.0316705984,0
36,20,73360,0.3043781972,0.4323334456,176.7932292878,0
36,20,73884,0.3090932741,0.5155282463,175.0355349809,0
36,20,74408,0.3075565283,0.5071595023,169.5134373224,0
36,20,74932,0.2950505844,0.5090809567,171.4227411910,0
36,20,75456,0.3064218330,0.4646315161,174.9266452887,0
36,20,75980,0.3016043621,0.5646937051,174.1129027978,0
36,20,76504,0.2820925696,0.4524324081,165.8732480689,0
36,20,77028,0.2915932783,0.4882103928,171.3931785411,0
36,20,77552,0.3117820160,0.4008115193,174.5272217868,0
36,20,78076,0.3504306778,0.5101047702,177.0975297035,0
36,20,78600,0.3069221955,0.5009020093,175.3208600545,0
36,20,79124,0.2838096187,0.4624304245,170.4201936642,0
36,20,79648,0.3004311703,0.4326322752,174.5469242076,0
36,20,80172,0.2768151769,0.3966075638,170.5139438977,0
36,20,80696,0.2882923913,0.3610864247,171.5291540846,0
36,20,81220,0.2817667189,0.4009258007,172.1366038906,0
36,20,81744,0.3137777198,0.3557345403,176.3071179027,0
36,20,82268,0.2933541556,0.3999347984,172.7726986679,0
36,20,82792,0.2953533245,0.3407885010,171.3024941525,0
36,20,83316,0.2968970510,0.3855219346,170.6825197638,0
36,20,83840,0.3101632030,0.3324193789,180.0394758442,0
36,20,84364,0.2812740567,0.4348866454,171.0102294773,0
36,20,84888,0.2685893204,0.3592508917,167.9331367093,0
36,20,85412,0.2593507667,0.3725560799,166.5265606470,0
36,20,85936,0.3001947289,0.3601110207,174.7223984019,0
36,20,86460,0.2967246310,0.4104036239,169.3826253702,0
36,20,86984,0.2946827995,0.3993310643,173.4948895879,0
36,20,87508,0.2710739440,0.3697072488,165.8318662287,0
36,20,88032,0.2902788449,0.3396549912,171.8040904413,0
36,20,88556,0.3348951480,0.4932878452,173.1951154604,0
36,20,89080,0.3216451400,0.4035088335,173.0949666972,0
36,20,89604,0.2955323814,0.4804515979,178.6137496161,0
36,20,90128,0.3523617783,0.5617513391,185.7746783543,0
36,20,90652,0.2792915974,0.4601749092,172.0813879347,0
36,20,91176,0.3059212642,0.4654155635,172.8028922412,0
36,20,91700,0.3128182416,0.4164093307,176.3357941144,0
36,20,92224,0.3327131197,0.5403889168,179.4953468614,0
36,20,92748,0.2667259192,0.3871174841,167.5580420041,0
36,20,93272,0.2816496949,0.3999929331,168.0976614623,0
36,20,93796,0.3012986543,0.3746155888,172.4464519417,0
36,20,94320,0.3091815435,0.4561844928,178.4980786505,0
36,20,94844,0.3231838752,0.3995225177,172.6293279531,0
36,20,95368,0.2916263486,0.3911874612,173.3704446434,0
36,20,95892,0.2599662359,0.3231951015,169.9488688726,0
36,20,96416,0.3079371922,0.4331297688,178.4663108369,0
36,20,96940,0.3156913999,0.3863293541,171.1050155600,0
36,20,97464,0.3166332394,0.3287399637,174.3079467333,0
36,20,97988,0.3315795699,0.3800061935,178.9864088402,0
36,20,98512,0.3439135256,0.4504384989,183.4394377471,0
36,20,99036,0.2867703814,0.3464718497,173.7079049053,0
36,20,99560,0.2926226219,0.3019853208,175.3624259075,0
36,20,100084,0.3094063435,0.2900341746,176.5411077078,0
36,20,100608,0.3413645584,0.4761480490,184.0046119578,0
36,20,101132,0.2776842824,0.3625655905,172.9833368775,0
36,20,101656,0.2860079671,0.3310255442,172.2997487007,0
36,20,102180,0.2819177529,0.3193838307,175.8542219589,0
36,20,102704,0.3025895780,0.4180887435,176.0664049825,0
36,20,103228,0.2881909399,0.3228734018,170.4703869614,0
36,20,103752,0.2789151703,0.3541454561,168.8325323104,0
36,20,104276,0.2636946339,0.3449136836,168.4415406521,0
36,20,104800,0.2839229439,0.3573486000,171.2322384607,0
36,20,105324,0.2791429874,0.3045313891,167.1934257781,0
36,20,105848,0.2781391718,0.2897780848,169.0329025679,0
36,20,106372,0.2817936586,0.2905409217,175.2118183694,0
36,20,106896,0.3113033860,0.4305502477,177.3141574915,0
36,20,107420,0.2738642467,0.3277896554,169.9282206009,0
36,20,107944,0.2642353168,0.3057832231,167.1712360910,0
36,20,108468,0.2961056316,0.3207691114,172.8927150306,0
36,20,108992,0.2931664230,0.3370581148,175.6305566440,0
36,20,109516,0.3010695842,0.3203813296,170.3090107584,0
36,20,110040,0.2806232088,0.2597366825,168.6442213330,0
36,20,110564,0.3088518463,0.3332223982,173.8313887524,0
36,20,111088,0.3026113193,0.3200232076,175.6576667260,0
36,20,111612,0.3402883144,0.5001386910,176.3289019289,0
36,20,112136,0.2862275169,0.3685614985,175.6059486472,0
36,20,112660,0.2895851203,0.4527772709,178.4340131668,0
36,20,113184,0.2945082318,0.4192660226,176.5786278393,0
36,20,113708,0.3004693496,0.3554217825,174.7104370422,0
36,20,114232,0.3164004975,0.3259369611,178.0888987188,0
36,20,114756,0.3327558929,0.4796591457,183.6574254182,0
36,20,115280,0.2981744103,0.3352962479,175.9275123407,0
36,20,115804,0.2560237357,0.3534106076,170.5254689974,0
36,20,116328,0.2662173225,0.2933014821,172.4819710422,0
36,20,116852,0.2990007354,0.3674064157,175.5635531479,0
36,20,117376,0.2949940502,0.3811275336,175.3256345458,0
36,20,117900,0.2591392228,0.2828396609,170.6002955181,0
36,20,118424,0.2499566247,0.2552291442,170.1989489731,0
36,20,118948,0.2869458030,0.4043291284,173.2956286262,0
36,20,119472,0.2663962037,0.2933370080,170.1667102056,0
36,20,119996,0.2796833266,0.2918132562,168.0186214684,0
36,20,120520,0.2579279633,0.2377784245,171.9251405420,0
36,20,121044,0.2912519084,0.3208586699,173.1863835327,0
36,20,121568,0.2846844657,0.2812622804,173.2419404088,0
36,20,122092,0.3312864359,0.4197354512,175.7708074550,0
36,20,122616,0.3183549154,0.3445451140,177.9248821230,0
36,20,123140,0.3069888213,0.4600237969,182.2256371012,0
36,20,123664,0.2883204242,0.3455151914,179.2802020038,0
36,20,124188,0.2607250139,0.2566000204,171.0238955541,0
36,20,124712,0.2565958631,0.2906615090,173.6947823457,0
36,20,125236,0.2775045967,0.2539740255,174.3445069759,0
36,20,125760,0.2708617671,0.2679658064,174.4006343783,0
36,20,126284,0.2847786533,0.2743728535,170.7417745509,0
36,20,126808,0.2829834948,0.2686718950,173.5340240347,0
36,20,127332,0.3079203341,0.3524001107,176.2854839738,0
36,20,127856,0.2921114646,0.2440944059,176.4562119894,0
36,20,128380,0.3283413328,0.4521219287,175.9978467754,0
36,20,128904,0.3013149195,0.2774608555,179.9408809859,0
36,20,129428,0.3156138484,0.3294876348,178.8148265925,0
36,20,129952,0.3122267358,0.2891626105,179.5199495329,0
36,20,130476,0.3383024487,0.5027934845,179.3655198502,0
36,20,131000,0.3493024870,0.4502352313,186.2112001164,0
36,20,131524,0.3525469124,0.6283565091,186.2027748196,0
36,20,132048,0.3486370683,0.6610132400,182.7569377276,0
36,20,132572,0.3390484218,0.5243899796,176.1115194526,0
36,20,133096,0.3483651020,0.5532756315,181.0250690063,0
36,20,133620,0.3386521195,0.4505774938,177.9478890068,0
36,20,134144,0.3880352821,0.7160892825,191.8561693699,0
36,20,134668,0.3316585899,0.6175334257,181.7637000022,0
36,20,135192,0.3589598032,0.6520334087,183.9207608787,0
