hash_bits,matrix_dim,candidate,mean_gap,std_gap,energy,is_target
20,12,0,0.5582161585,0.7157576100,88.7555651359,0
20,12,2,0.5231572551,0.7167798989,85.3941815120,0
20,12,4,0.4969772099,0.6354449434,82.8856296971,0
20,12,6,0.4604464081,0.6280090179,79.6736336931,0
20,12,8,0.5231095027,0.7402799046,83.5950360527,0
20,12,10,0.5005715688,0.7116063398,82.7048450741,0
20,12,12,0.4680867631,0.6552389366,79.3556794966,0
20,12,14,0.4425281821,0.6495248020,78.5563255344,0
20,12,16,0.5058393639,0.6086231073,82.8634096145,0
20,12,18,0.4792511571,0.5997110159,80.2096112390,0
20,12,20,0.4493700923,0.5392340518,78.8494136362,0
20,12,22,0.4262754517,0.5271311870,76.3544007939,0
20,12,24,0.4706548634,0.6102595248,77.8616665676,0
20,12,26,0.4545018875,0.5809171436,77.6600073639,0
20,12,28,0.4197649714,0.5384345794,75.5909292942,0
20,12,30,0.4132428248,0.5380698208,75.3391627402,0
20,12,32,0.4960658382,0.5700246254,81.3806699381,0
20,12,34,0.4587125520,0.5415213338,78.1186813235,0
20,12,36,0.4397716148,0.5251464958,77.6935665863,0
20,12,38,0.4094498361,0.5053577096,74.7592269658,0
20,12,40,0.4621589018,0.5610605552,76.6983151292,0
20,12,42,0.4388471926,0.5377116050,75.9144820455,0
20,12,44,0.3941076298,0.5237402652,74.2337153910,0
20,12,46,0.3888897543,0.5157804332,73.6164565341,0
20,12,48,0.4651596384,0.5191862981,80.0041387547,0
20,12,50,0.4354583131,0.5255921314,77.3461068220,0
20,12,52,0.4184646212,0.4624676372,78.2961977652,0
20,12,54,0.3987824483,0.4268032994,75.6953964051,0
20,12,56,0.4325908619,0.5402156839,75.3921639461,0
20,12,58,0.4145799914,0.4712958221,75.2340748319,0
20,12,60,0.4035800998,0.4517469556,75.1785071448,0
20,12,62,0.3995831556,0.4265292099,75.0153572439,0
20,12,64,0.5078900261,0.7365994534,81.4187425293,0
20,12,66,0.4775920862,0.7662264917,78.7357606976,0
20,12,68,0.4513278604,0.6606313409,76.4808466000,0
20,12,70,0.4218285065,0.6913862517,73.8984180874,0
20,12,72,0.4845030497,0.7263002902,78.1070491703,0
20,12,74,0.4634714461,0.7281814429,77.8737637323,0
20,12,76,0.4306491642,0.6955934114,74.8407365132,0
20,12,78,0.4183453184,0.7112553983,74.5906194305,0
20,12,80,0.4482721200,0.5686388862,75.8140633675,0
20,12,82,0.4272675235,0.6132725866,73.8365990379,0
20,12,84,0.3995915469,0.5467834843,72.7366237823,0
20,12,86,0.3822445176,0.5894680738,70.8503436324,0
20,12,88,0.4290905042,0.5800207725,72.5921507389,0
20,12,90,0.4103009949,0.5900780546,73.2015490170,0
20,12,92,0.3828450778,0.5641142939,71.1014878777,0
20,12,94,0.3887512431,0.5524415060,71.5107353617,0
20,12,96,0.4592913117,0.6429125721,76.6473663566,0
20,12,98,0.4282122560,0.6328609340,73.9021201529,0
20,12,100,0.4072942000,0.5840878799,74.0398863505,0
20,12,102,0.3845349538,0.5905366905,71.5884688930,0
20,12,104,0.4382885573,0.6368784031,73.7623089144,0
20,12,106,0.4116906464,0.6208106791,73.6823382405,0
20,12,108,0.3896311383,0.5903196471,72.6308662146,0
20,12,110,0.3896163585,0.5802698901,72.3934195095,0
20,12,112,0.4230808594,0.5134302569,75.6502941058,0
20,12,114,0.4008488739,0.5015853329,73.6242901418,0
20,12,116,0.3936270889,0.4748533334,74.9539495206,0
20,12,118,0.3825153301,0.4960734974,72.8957839067,0
20,12,120,0.4054709878,0.5173862037,72.8104137277,0
20,12,122,0.3959264421,0.5024730816,73.3460984692,0
20,12,124,0.4147446370,0.4676742225,73.5593333758,0
20,12,126,0.4322802791,0.4580105695,74.0755077372,0
20,12,128,0.5170547760,0.7780560702,81.9746011728,0
20,12,130,0.4875156623,0.7669823541,79.4793259607,0
20,12,132,0.4553282207,0.7884392202,76.3728616841,0
20,12,134,0.4251878633,0.7685594272,74.0627534849,0
20,12,136,0.4927965305,0.7647287223,78.1287202417,0
20,12,138,0.4721134522,0.7658479097,78.2876777380,0
20,12,140,0.4376192621,0.7497415719,74.5812292301,0
20,12,142,0.4204008795,0.7545231754,74.5225419223,0
20,12,144,0.4544187782,0.6360644364,76.0489675995,0
20,12,146,0.4346738976,0.6221098997,74.2700150021,0
20,12,148,0.3993601324,0.6539988312,72.5106976682,0
20,12,150,0.3832899072,0.6362364154,70.7972226769,0
20,12,152,0.4338593527,0.6249445137,72.6352907533,0
20,12,154,0.4184317380,0.6329678870,73.3453187774,0
20,12,156,0.3831243108,0.6299492465,70.8504331007,0
20,12,158,0.3882131210,0.6324587070,71.3037321855,0
20,12,160,0.4526168352,0.7130081646,74.8921754377,0
20,12,162,0.4233567728,0.6771664479,72.6077260219,0
20,12,164,0.3975860087,0.6729874977,71.7385388077,0
20,12,166,0.3770123573,0.6581900540,69.6591074655,0
20,12,168,0.4326940368,0.6947149299,71.7387735972,0
20,12,170,0.4116928128,0.7089202442,71.9650663967,0
20,12,172,0.3600971256,0.6495299460,69.8644286922,0
20,12,174,0.3743376062,0.6475747161,70.0773101657,0
20,12,176,0.4156301300,0.5912253338,73.7312155856,0
20,12,178,0.3952236020,0.5530677376,72.0565418657,0
20,12,180,0.3732967248,0.5590109175,72.4580478496,0
20,12,182,0.3649191619,0.4936996881,70.8515167829,0
20,12,184,0.3998557095,0.5562876272,70.5816492694,0
20,12,186,0.3846337164,0.5221253576,71.4892108812,0
20,12,188,0.3750064189,0.5268553899,70.8485904458,0
20,12,190,0.3976482641,0.4367185424,71.5698303643,0
20,12,192,0.4896202092,0.7152248329,79.8768205541,0
20,12,194,0.4625764126,0.7051138605,77.9126046695,0
20,12,196,0.4327322215,0.5702766759,75.2691421793,0
20,12,198,0.4067160797,0.5474282322,73.3609514457,0
20,12,200,0.4706394177,0.6789066881,78.4556976800,0
20,12,202,0.4642690880,0.6651064456,78.6922794925,0
20,12,204,0.4166053166,0.5667074043,75.3009029195,0
20,12,206,0.4527872356,0.5304702802,75.6051887831,0
20,12,208,0.4278164448,0.5643988034,74.0754582336,0
20,12,210,0.4098091706,0.5142831206,72.9326289877,0
20,12,212,0.3805734600,0.4644460070,71.4122079342,0
20,12,214,0.3659924013,0.4485647073,70.3167129242,0
20,12,216,0.4149013471,0.5593981578,72.9126686617,0
20,12,218,0.4179416527,0.5012175174,73.9968161462,0
20,12,220,0.3613857445,0.4423984299,71.4302794150,0
20,12,222,0.4258768162,0.4366731679,72.7514435192,0
20,12,224,0.4394427581,0.4849333104,75.6219904728,0
20,12,226,0.4116088261,0.4612474713,73.6462620397,0
20,12,228,0.3880846878,0.4390750198,73.4026708634,0
20,12,230,0.3651097645,0.4256206355,71.2795276702,0
20,12,232,0.4235930437,0.4535545870,74.4415540413,0
20,12,234,0.4359581781,0.4797266987,75.0091659815,0
20,12,236,0.4167585308,0.4054990924,73.6075260920,0
20,12,238,0.4465441567,0.4190808813,74.0991022319,0
20,12,240,0.4025097668,0.3748616354,74.6514719355,0
20,12,242,0.3812867166,0.3915947580,73.3833748718,0
20,12,244,0.3926240456,0.3866478192,74.1036443878,0
20,12,246,0.4007938163,0.3674349819,72.8990032530,0
20,12,248,0.3890735150,0.3768623707,73.3654142623,0
20,12,250,0.4278252945,0.4064299217,74.7315455900,0
20,12,252,0.4351779036,0.3628369982,74.5632371213,0
20,12,254,0.4611780627,0.4105216635,75.8061819981,0
20,12,256,0.5109224700,0.6411376433,82.7295178247,0
20,12,258,0.4815702853,0.6532783786,80.1410624883,0
20,12,260,0.4371460119,0.5430859670,76.6444781459,0
20,12,262,0.4062963125,0.5672813781,74.1796131232,0
20,12,264,0.4818723849,0.6658375969,78.3526080236,0
20,12,266,0.4619862328,0.6559044417,78.2868131070,0
20,12,268,0.4167071574,0.5554541942,74.0301812592,0
20,12,270,0.3980038453,0.5619954717,73.9411301070,0
20,12,272,0.4573264215,0.5235274466,77.5067401025,0
20,12,274,0.4365846645,0.5533375091,75.6558412111,0
20,12,276,0.3897894234,0.4226716919,73.3663500325,0
20,12,278,0.3717103233,0.4356987126,71.6360246146,0
20,12,280,0.4284175044,0.5318554109,73.3398197156,0
20,12,282,0.4129344376,0.5328266869,73.9940112209,0
20,12,284,0.3678085533,0.4399693706,71.0458936312,0
20,12,286,0.3727420237,0.4266481248,71.4563105908,0
20,12,288,0.4327447152,0.4688302294,75.2475627421,0
20,12,290,0.4032286838,0.4834032849,72.8372905860,0
20,12,292,0.3653270870,0.4065621362,71.4396208135,0
20,12,294,0.3403221205,0.4180834468,69.2622590416,0
20,12,296,0.4076764582,0.4904185176,71.3737981061,0
20,12,298,0.3881363293,0.4807613081,71.4509159080,0
20,12,300,0.3287860935,0.4391652220,68.9783287071,0
20,12,302,0.3364735354,0.4409472860,69.0259370608,0
20,12,304,0.4038669256,0.3401949865,74.6483635641,0
20,12,306,0.3820710502,0.3948529314,72.8188421047,0
20,12,308,0.3473426177,0.3437454025,72.7722951505,0
20,12,310,0.3386533524,0.4166284183,71.0655917825,0
20,12,312,0.3808197950,0.4523363873,70.9017473997,0
20,12,314,0.3698334938,0.4550650733,71.6955915508,0
20,12,316,0.3462961961,0.3689759395,70.7049275882,0
20,12,318,0.3745791782,0.3549702574,71.4067290146,0
20,12,320,0.4688572626,0.7329520604,76.5634834595,0
20,12,322,0.4441035880,0.7263266372,74.7015579933,0
20,12,324,0.4032957893,0.6976182491,71.4443728242,0
20,12,326,0.3778788713,0.6967299618,69.6253270169,0
20,12,328,0.4510889184,0.7540854006,73.7717702000,0
20,12,330,0.4335557692,0.7545354931,74.5898155004,0
20,12,332,0.3892487019,0.6794997602,70.7568528459,0
20,12,334,0.3869960425,0.6566957671,71.1222317573,0
20,12,336,0.4097377358,0.5764319815,71.5233272610,0
20,12,338,0.3942117053,0.6009644527,70.4281477463,0
20,12,340,0.3551979990,0.5175506684,68.5788567478,0
20,12,342,0.3423842106,0.5162250892,67.4782347326,0
20,12,344,0.3966361693,0.6251421729,68.9535523939,0
20,12,346,0.3910088066,0.6658166514,70.5237075989,0
20,12,348,0.3435433214,0.4863045055,67.7676333113,0
20,12,350,0.3818136790,0.4762322320,68.9424600585,0
20,12,352,0.4089598818,0.5651269435,71.8251336200,0
20,12,354,0.3853070259,0.5482584701,69.7551857561,0
20,12,356,0.3497613885,0.4572253712,69.0302523289,0
20,12,358,0.3274271153,0.4660210229,67.1972991347,0
20,12,360,0.3947705955,0.5154855611,69.5742000732,0
20,12,362,0.3807090204,0.5138805310,70.3909844630,0
20,12,364,0.3427218893,0.4308538590,68.5756614746,0
20,12,366,0.3644345420,0.4120134988,68.9628812846,0
20,12,368,0.3776551030,0.3610540450,71.3189943146,0
20,12,370,0.3622969066,0.3586651268,70.2953724109,0
20,12,372,0.3445981451,0.3391419573,70.7185976975,0
20,12,374,0.3563320330,0.3893068046,69.5391672656,0
20,12,376,0.3663554836,0.3663249497,69.4028800428,0
20,12,378,0.3843270713,0.4067823805,70.8853569407,0
20,12,380,0.3824292193,0.3017747462,70.3474854413,0
20,12,382,0.4092853686,0.3624348969,71.5929154997,0
20,12,384,0.4883573226,0.6807845547,80.0151653960,0
20,12,386,0.4618998085,0.6674698300,78.4242116472,0
20,12,388,0.4184911365,0.5824320230,74.2437715449,0
20,12,390,0.3915704963,0.5785169656,72.4956953797,0
20,12,392,0.4673195856,0.6777189835,77.2945718833,0
20,12,394,0.4542168066,0.6786327000,77.9585556208,0
20,12,396,0.4048808767,0.5722900213,73.0617569449,0
20,12,398,0.4067878328,0.5440129811,73.8144341302,0
20,12,400,0.4288208940,0.5715555824,74.7205775000,0
20,12,402,0.4117452259,0.5605159368,73.8053764801,0
20,12,404,0.3678764838,0.4750337663,70.8678866448,0
20,12,406,0.3547334884,0.4738470493,70.0235243179,0
20,12,408,0.4108937679,0.5495881810,72.1752808074,0
20,12,410,0.4185549168,0.5380950383,73.5916515496,0
20,12,412,0.3545060128,0.4300256441,70.2099668742,0
20,12,414,0.4059759435,0.4131268220,71.6077789832,0
20,12,416,0.4149451904,0.5237975139,72.8072589943,0
20,12,418,0.3897631524,0.5141369413,71.3355595241,0
20,12,420,0.3538956422,0.3724101298,69.1938987093,0
20,12,422,0.3304172668,0.3673130923,67.9798180654,0
20,12,424,0.3986112669,0.4775039636,70.6869138259,0
20,12,426,0.3903100007,0.4714043499,71.6104766285,0
20,12,428,0.3273091178,0.3946769943,68.5735996863,0
20,12,430,0.3734903862,0.3770615405,69.4109914363,0
20,12,432,0.3838287667,0.3851110748,72.4073080906,0
20,12,434,0.3669040645,0.3790459458,71.5376853117,0
20,12,436,0.3371411893,0.3432274513,70.7830598777,0
20,12,438,0.3330415223,0.2972809874,69.9879120631,0
20,12,440,0.3708731702,0.3640713424,70.1965706737,0
20,12,442,0.3904817267,0.4153643845,71.7674496250,0
20,12,444,0.3581628104,0.3064502999,70.1891986903,0
20,12,446,0.3993325113,0.3699809353,71.8877642573,0
20,12,448,0.4626589327,0.5211444338,78.9555685327,0
20,12,450,0.4278121149,0.5251114944,77.9275912694,0
20,12,452,0.3986680153,0.4366685472,74.1183482741,0
20,12,454,0.3887338959,0.4146660588,73.0526469606,0
20,12,456,0.4358418929,0.5439056874,78.1569728585,0
20,12,458,0.5026133472,0.5149346663,79.5941228328,0
20,12,460,0.4191680570,0.4266165759,74.8571570863,0
20,12,462,0.4785329564,0.4660716549,76.3864707868,0
20,12,464,0.4035961508,0.3963390499,74.0189578234,0
20,12,466,0.3876982241,0.4056346683,73.7577176101,0
20,12,468,0.3512923112,0.3339970336,71.1598574159,0
20,12,470,0.3700929962,0.3443860797,70.8816750921,0
20,12,472,0.3878020335,0.4077500346,73.3707549424,0
20,12,474,0.4609619357,0.4167123168,75.6655649056,0
20,12,476,0.3928689609,0.3007678035,71.9896286529,0
20,12,478,0.4550702965,0.4330947779,74.2637818277,0
20,12,480,0.4038795399,0.3490619313,74.6492731085,0
20,12,482,0.3841616081,0.3791799054,73.7435555293,0
20,12,484,0.3534731115,0.3309803780,72.2313508075,0
20,12,486,0.3695509910,0.2911465800,71.2192472094,1
