hash_bits,matrix_dim,candidate,mean_gap,std_gap,energy,is_target
40,22,0,0.4499865854,0.7930248741,255.9311053234,0
40,22,2097,0.3895108446,0.7472296917,233.0842498743,0
40,22,4194,0.3905585088,0.7870477596,227.0839479962,0
40,22,6291,0.3614484274,0.7213769511,219.9947964295,0
40,22,8388,0.3851813767,0.7878270761,228.1010188044,0
40,22,10485,0.4301115497,0.8200205581,222.8222140724,0
40,22,12582,0.3494837132,0.7204434248,217.1312783286,0
40,22,14679,0.3868108684,0.7516041752,215.2694931415,0
40,22,16776,0.3838698285,0.6383103768,228.5717245012,0
40,22,18873,0.3451765528,0.7572299319,211.3338608651,0
40,22,20970,0.4016417485,0.7880246884,219.1141412309,0
40,22,23067,0.3640423554,0.7536569996,213.0450866988,0
40,22,25164,0.3507083923,0.8062491684,215.8865170264,0
40,22,27261,0.4288279630,0.8921483933,217.0963040809,0
40,22,29358,0.3654389388,0.7572996007,211.2560003725,0
40,22,31455,0.4406670874,0.8863288768,220.9574378433,0
40,22,33552,0.3670028414,0.6276780237,225.9107382618,0
40,22,35649,0.3427228464,0.6179936777,212.4433081187,0
40,22,37746,0.3365617255,0.6598472264,209.0536459563,0
40,22,39843,0.3336963019,0.7198685627,206.5280577664,0
40,22,41940,0.3341084982,0.6999375412,209.8438933480,0
40,22,44037,0.3542173261,0.6877596565,218.0186328502,0
40,22,46134,0.3477741726,0.6810795086,212.7203149059,0
40,22,48231,0.4017971036,0.8038546342,215.6759727481,0
40,22,50328,0.3392157811,0.5508359539,211.7266122230,0
40,22,52425,0.3394701418,0.7294525250,212.2504401589,0
40,22,54522,0.3693075195,0.6729816324,210.4639559694,0
40,22,56619,0.3517259628,0.6745641992,208.0774052735,0
40,22,58716,0.3277758106,0.6327133369,206.2556406361,0
40,22,60813,0.3705664815,0.6639577250,211.8259251752,0
40,22,62910,0.3869783579,0.6839513703,213.6540794401,0
40,22,65007,0.4639655780,0.8778401397,229.2047249252,0
40,22,67104,0.3658728526,0.6092562923,225.5738734454,0
40,22,69201,0.3208042610,0.5025648981,212.8675021380,0
40,22,71298,0.3252572776,0.5250037731,212.3024839719,0
40,22,73395,0.3569958854,0.5590784517,210.0697447704,0
40,22,75492,0.3122678524,0.6281399007,207.0371931028,0
40,22,77589,0.3493451836,0.5463074542,211.3335285439,0
40,22,79686,0.3093826428,0.6013229393,204.3318948256,0
40,22,81783,0.4148338677,0.7996249906,218.5224810517,0
40,22,83880,0.3092621224,0.4610999550,207.5177228372,0
40,22,85977,0.3444819631,0.6378206577,207.8464979780,0
40,22,88074,0.3383746509,0.6241531520,216.4544060465,0
40,22,90171,0.3516806323,0.6068937870,213.7863557134,0
40,22,92268,0.3411623857,0.6845024024,209.4099278818,0
40,22,94365,0.3673398261,0.6983002689,211.8702043568,0
40,22,96462,0.3916673934,0.7057979362,217.7762405184,0
40,22,98559,0.4094552336,0.6288172224,221.7809437810,0
40,22,100656,0.3219737235,0.4456511929,212.8597196353,0
40,22,102753,0.3222392102,0.6222108814,207.3193670425,0
40,22,104850,0.3036778379,0.5560049931,207.5315885611,0
40,22,106947,0.3530075661,0.5597525969,214.8044847756,0
40,22,109044,0.3460576877,0.5687813246,208.2151458477,0
40,22,111141,0.3292864661,0.5929445454,209.1434944310,0
40,22,113238,0.3143587997,0.5239135071,203.9656698478,0
40,22,115335,0.3212258524,0.4523434262,210.4646621372,0
40,22,117432,0.3011890695,0.5051583891,202.9151576067,0
40,22,119529,0.3499717004,0.5683599278,207.5503942987,0
40,22,121626,0.3213799633,0.4993843869,207.4794658292,0
40,22,123723,0.3554882644,0.6067626180,211.6175636463,0
40,22,125820,0.3593268157,0.5817012971,209.2903642433,0
40,22,127917,0.3782788709,0.6519736821,213.0563524018,0
40,22,130014,0.4124502378,0.7474807296,221.0923918609,0
40,22,132111,0.3699709382,0.5799906093,221.8127734631,0
40,22,134208,0.3574877054,0.5807111807,220.7688027218,0
40,22,136305,0.3272753003,0.5763436505,210.5558735038,0
40,22,138402,0.3143846693,0.4802744804,208.5358560465,0
40,22,140499,0.3149711188,0.5466965217,204.2066340383,0
40,22,142596,0.3133347749,0.5004842570,209.3005980853,0
40,22,144693,0.3499524747,0.5266426443,207.3420531950,0
40,22,146790,0.3258828163,0.5390455290,205.2188169514,0
40,22,148887,0.3194612480,0.4901213273,204.0520695117,0
40,22,150984,0.3102308067,0.5803409316,207.8148875935,0
40,22,153081,0.3492550648,0.6493328894,204.2561288803,0
40,22,155178,0.3084605480,0.5553803908,207.6448427418,0
40,22,157275,0.3215842527,0.5799036900,202.5301088822,0
40,22,159372,0.2919748253,0.5590829483,204.3659457932,0
40,22,161469,0.3721900058,0.6824840725,208.2205638374,0
40,22,163566,0.3917705174,0.6808757669,216.6189644068,0
40,22,165663,0.3429009262,0.4698643403,211.2003600411,0
40,22,167760,0.2895218342,0.3654846708,207.0865928942,0
40,22,169857,0.2885652277,0.4580348093,206.2258150789,0
40,22,171954,0.3316144108,0.5112009995,208.1531852770,0
40,22,174051,0.3313002449,0.5817863177,204.4164783034,0
40,22,176148,0.3154741112,0.5580420901,212.4013359319,0
40,22,178245,0.3390684994,0.6270092550,211.3184200246,0
