hash_bits,matrix_dim,candidate,mean_gap,std_gap,energy,is_target
8,6,0,0.7298252123,0.6173469315,26.1474141547,0
8,6,1,0.6007728344,0.5277479018,23.0325166217,0
8,6,2,0.6601756687,0.7463681289,24.2752690940,0
8,6,3,0.4783186349,0.7094265417,21.6065950699,0
8,6,4,0.5043328178,0.3106344943,21.7743356422,0
8,6,5,0.4527944365,0.3800215873,21.6422060400,0
8,6,6,0.4134213328,0.4242822377,20.0779624288,0
8,6,7,0.4078436587,0.2747549084,20.3450638908,0
8,6,8,0.6423834050,0.7309376266,23.4838581308,0
8,6,9,0.4625576455,0.5233007682,21.4919019876,0
8,6,10,0.6038736324,0.4551044778,23.8722427416,0
8,6,11,0.5450560349,0.3841077594,22.3252141911,0
8,6,12,0.4410334712,0.3441819244,20.6422622746,0
8,6,13,0.4836342018,0.1272596017,21.3845517369,0
8,6,14,0.3998523255,0.3353938611,21.2372729997,0
8,6,15,0.5302624502,0.3866473089,22.5598287985,0
8,6,16,0.5096168982,0.3344921354,22.0338406965,0
8,6,17,0.3113122618,0.3275046849,19.6766731417,0
8,6,18,0.4464833710,0.2279832964,20.7970119771,0
8,6,19,0.2523206243,0.3128094385,19.0925599228,0
8,6,20,0.3081601754,0.3483873003,19.7628071771,0
8,6,21,0.3455253157,0.4034334601,20.2317288256,0
8,6,22,0.2969856092,0.2696452114,18.6805469765,0
8,6,23,0.3909817323,0.3628426459,19.7054414659,0
8,6,24,0.3680865918,0.3203392635,19.9326164049,0
8,6,25,0.1873040696,0.2423811369,18.5917424304,0
8,6,26,0.3740700065,0.2892723674,21.1285208528,0
8,6,27,0.3579256715,0.2839232708,20.1922098342,0
8,6,28,0.2939308228,0.2448693859,18.9110023760,0
8,6,29,0.4183233219,0.3729240785,20.1918883869,0
8,6,30,0.3699396474,0.4179861884,20.0823096538,0
8,6,31,0.5567865537,0.5046843846,22.1207292729,0
8,6,32,0.4944264746,0.2797186561,21.8849484865,0
8,6,33,0.3573514444,0.3193930345,20.0656976800,0
8,6,34,0.3875974366,0.3320028247,20.4835069343,1
